OBJECTID,TILENAME,DOWNLOAD_P,AVAILABLE,COMMTYPE,YEAR,NOTE,TILENUM,FIPS6,TOWNGEOID,MEETS_STD,ORIG_P,SHAPE_Length,SHAPE_Area
99,Eden,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Eden.zip,Y,TOWN,2021-08-31,,EDEN,15015,5001523500,Y, ,53912.6907536475,165499436.908696
100,Shaftsbury,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Shaftsbury.zip,Y,TOWN,2021-08-24,,SHAFTSBURY,3060,5000363550,Y, ,42249.2060326641,111541317.261698
101,New Haven,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_New Haven.zip,Y,TOWN,2021-12-20,,NEWHAVEN,1065,5000148700,Y, ,52068.2035133541,107484465.492845
102,Lincoln,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Lincoln.zip,Y,TOWN,2021-12-20,,LINCOLN,1050,5000140075,Y, ,47935.5114153004,118620948.000003
103,Fletcher,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Fletcher.zip,Y,TOWN,2021-12-21, ,FLETCHER,11035,5001126500,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/FLETCHER/ORIG/VTPARCELS_FLETCHER_2017.zip,51334.1535417697,99950023.3753038
104,Strafford,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Strafford.zip,Y,TOWN,2021-12-21,,STRAFFORD,17050,5001770675,Y, ,43607.8194366539,114637747.456901
105,Clarendon,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Clarendon.zip,Y,TOWN,2021-12-22,,CLARENDON,21025,5002114500,Y, ,38769.0904780438,81592760.5259225
106,Barre Town,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Barre Town.zip,Y,TOWN,2021-12-30,,BARRETOWN,23010,5002303250,Y, ,52735.1972482965,79590215.765286
107,Newfane,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Newfane.zip,Y,TOWN,2022-01-03,,NEWFANE,25060,5002548400,Y, ,43004.5544413004,103661069.192451
108,Hardwick,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Hardwick.zip,Y,TOWN,2022-01-04,,HARDWICK,5025,5000531825,Y, ,40120.6502030037,100122404.06215
109,Tinmouth,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Tinmouth.zip,Y,TOWN,2022-01-03,,TINMOUTH,21120,5002172925,Y, ,37117.6991939307,74478881.8545482
110,Williston,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Williston.zip,Y,TOWN,2022-01-11, ,WILLISTON,7085,5000784475,Y,http://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_standardized/WILLISTON/ORIG/VTPARCELS_WILLISTON_2017.zip,47320.5750111724,80364394.1716633
111,Addison,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Addison.zip,Y,TOWN,2022-01-20,,ADDISON,1005,5000100325,Y, ,48458.6098839907,126776511.635248
112,Lyndon,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Lyndon.zip,Y,TOWN,2022-01-24,,LYNDON,5035,5000541725,Y, ,40506.0411328408,102812107.532197
113,Huntington,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Huntington.zip,Y,TOWN,2022-01-26,,HUNTINGTON,7040,5000734600,Y, ,46947.9960419416,99255522.862599
114,Calais,https://maps.vcgi.vermont.gov/gisdata/vcgi/packaged_zips/CadastralParcels_VTPARCELS/VTPARCELS_Calais.zip,Y,TOWN,2022-01-28,,CALAIS,23025,5002311350,Y, ,40239.3348168973,99841774.8257503
